Posição,Nome,Time,Rating,Preço_Mínimo,Tipo,EA_ID
CM,Rodri,Manchester City,91,110,Elite,231866
CM,Jude Bellingham,Real Madrid,90,105,Elite,252371
CM,Vitinha,PSG,89,90,Elite,255253
CM,Pedri,Barcelona,89,88,Elite,251854
CM,Joshua Kimmich,Bayern Munich,89,86,Elite,212622
CM,Federico Valverde,Real Madrid,89,85,Elite,239053
CM,Florian Wirtz,Liverpool,89,82,Elite,256630
CM,Jamal Musiala,Bayern Munich,88,75,Elite,256790
CM,Frenkie de Jong,Barcelona,87,68,Elite,228702
CM,Kevin De Bruyne,Manchester City,87,65,Elite,192985
CM,Declan Rice,Arsenal,87,63,Elite,234378
CM,Moisés Caicedo,Chelsea,87,61,Elite,256079
CM,Bruno Fernandes,Manchester United,87,60,Elite,212198
CM,Martin Ødegaard,Arsenal,87,58,Elite,222665
CM,Bernardo Silva,Manchester City,87,56,Elite,218667
CM,Nicolò Barella,Inter Milan,87,54,Elite,224232
CM,Mateo Kovačić,Manchester City,86,52,Elite,207410
CM,Eduardo Camavinga,Real Madrid,86,50,Elite,248243
CM,Aurélien Tchouaméni,Real Madrid,86,58,Elite,46
CM,Alexis Mac Allister,Liverpool,85,46,Elite,239837
CM,Leon Goretzka,Bayern Munich,85,48,Elite,209658
CM,Éderson,Bergamo Calcio,82,0,Mediano,241266
CM,Orkun Kökçü,Beşiktaş JK,82,0,Mediano,243952
CM,Denis Zakaria,AS Monaco,82,0,Mediano,225100
CM,Morgan Rogers,Aston Villa,82,0,Mediano,265697
CM,Malik Tillman,Leverkusen,82,0,Mediano,257322
CM,Otávio,Al Qadsiah,82,0,Mediano,220803
CM,Rafa,Beşiktaş JK,82,0,Mediano,210513
CM,Giovani Lo Celso,Real Betis,82,0,Mediano,232432
CM,Mario Götze,Frankfurt,82,0,Mediano,192318
CM,Parejo,Villarreal CF,82,0,Mediano,189513
CM,Mattéo Guendouzi,Latium,82,0,Mediano,238072
CM,Benoit Badiashile,Chelsea,82,0,Mediano,244229
CM,Davide Frattesi,Inter Milan,82,0,Mediano,240360
CM,Sander Berge,Fulham,81,0,Mediano,228085
CM,Youri Tielemans,Aston Villa,81,0,Mediano,231636
CM,Wilfried Ndidi,Leicester,80,0,Mediano,234045
LB,Nuno Mendes,PSG,86,60,Elite,252145
LB,Federico Dimarco,Inter Milan,85,52,Elite,226268
LB,Joško Gvardiol,Manchester City,84,48,Elite,251517
LB,Alphonso Davies,Bayern Munich,84,46,Elite,234396
LB,Theo Hernández,AC Milan,84,44,Elite,232656
LB,Tyreek Wilson,Liverpool,83,42,Elite,263688
LB,Romain Faivre,Brest,83,40,Elite,240367
LB,Sérgio Conceição,Juventus,82,35,Elite,257530
LB,Pervis Estupiñán,Brighton,82,33,Elite,234236
LB,David Raum,RB Leipzig,82,31,Elite,237012
LB,Milos Kerkez,Liverpool,82,0,Mediano,263688
LB,Marc Cucurella,Chelsea,81,0,Mediano,244203
LB,Alejandro Balde,Barcelona,81,0,Mediano,260533
LB,Ferland Mendy,Real Madrid,81,0,Mediano,238789
LB,Destiny Udogie,Tottenham,80,0,Mediano,257855
LB,Ola Aina,Nottingham,79,0,Mediano,231548
RB,Achraf Hakimi,PSG,89,80,Elite,235212
RB,Jules Koundé,Barcelona,87,70,Elite,241486
RB,Trent Alexander-Arnold,Liverpool,86,60,Elite,231281
RB,Kyle Walker,Manchester City,85,52,Elite,188350
RB,Dani Carvajal,Real Madrid,85,50,Elite,204963
RB,João Cancelo,Al Hilal,84,48,Elite,210514
RB,Reece James,Chelsea,84,46,Elite,238074
RB,Benjamin White,Arsenal,83,44,Elite,235569
RB,Kalvin Phillips,Manchester City,83,42,Elite,230666
RB,Jeremie Freuler,Atalanta,83,40,Elite,212616
RB,Denzel Dumfries,Inter Milan,83,38,Elite,228093
RB,Giovanni Di Lorenzo,Napoli,82,36,Elite,228702
RB,Pedro Porro,Spurs,82,0,Mediano,247204
RB,Konrad Laimer,Bayern Munich,82,0,Mediano,232580
RB,Marcos Llorente,Real Madrid,81,0,Mediano,226161
RB,Aaron Wan-Bissaka,Manchester United,80,0,Mediano,229880
RB,Max Aarons,Bournemouth,80,0,Mediano,243566
RB,Fabio Vigorito,Como,78,0,Mediano,214061
CB,Virgil van Dijk,Liverpool,90,95,Elite,203376
CB,Gabriel Magalhães,Arsenal,88,85,Elite,232580
CB,Alessandro Bastoni,Inter Milan,87,75,Elite,237383
CB,Marquinhos,PSG,87,73,Elite,207865
CB,William Saliba,Arsenal,87,71,Elite,243715
CB,Jonathan Tah,Bayern Munich,87,69,Elite,213331
CB,Antonio Rüdiger,Real Madrid,86,65,Elite,205452
CB,Rúben Dias,Manchester City,86,63,Elite,239818
CB,Willian Pacho,PSG,86,61,Elite,256196
CB,Ibrahima Konaté,Liverpool,86,59,Elite,237678
CB,Eder Militão,Real Madrid,86,57,Elite,240130
CB,Kim Min-jae,Bayern Munich,86,55,Elite,246260
CB,Matthijs de Ligt,Manchester United,85,53,Elite,235243
CB,Micky van de Ven,Tottenham,85,51,Elite,256157
CB,Cristian Romero,Tottenham,85,49,Elite,232432
CB,Gleison Bremer,Juventus,85,47,Elite,239580
CB,Emre Can,Borussia Dortmund,82,0,Mediano,208333
CB,David Alaba,Real Madrid,82,0,Mediano,197445
CB,John Stones,Manchester City,82,0,Mediano,203574
CB,Manuel Akanji,Lombardia FC,82,0,Mediano,229237
CB,Waldemar Anton,Borussia Dortmund,82,0,Mediano,231691
CB,Kalidou Koulibaly,Al Hilal,82,0,Mediano,201024
CB,Dayot Upamecano,Bayern Munich,82,0,Mediano,229558
CB,Danilo,Juventus,81,0,Mediano,199304
CB,Malick Tillman,PSV,81,0,Mediano,257322
CB,Sergio Gomez,Villarreal,80,0,Mediano,245367
CB,Lisandro Martínez,Manchester United,80,0,Mediano,243051
GK,Gianluigi Donnarumma,Manchester City,89,40,Elite,230621
GK,Alisson,Liverpool,89,38,Elite,212831
GK,Thibaut Courtois,Real Madrid,89,36,Elite,192119
GK,Jan Oblak,Atlético Madrid,88,32,Elite,200389
GK,David Raya,Arsenal,87,28,Elite,220901
GK,Mike Maignan,AC Milan,87,26,Elite,215698
GK,Yann Sommer,Inter Milan,87,24,Elite,177683
GK,Gregor Kobel,Borussia Dortmund,86,22,Elite,235073
GK,Stefan Ortega,Manchester City,86,20,Elite,203841
GK,Éderson,Manchester City,86,18,Elite,210257
GK,Marc-André ter Stegen,Barcelona,86,16,Elite,192448
GK,Emiliano Martínez,Aston Villa,86,14,Elite,202811
GK,Diogo Costa,FC Porto,85,12,Elite,241671
GK,André Onana,Manchester United,84,10,Elite,226753
GK,Aaron Ramsdale,Southampton,83,8,Elite,235569
GK,Mile Svilar,AS Roma,82,0,Mediano,224168
GK,Gerónimo Rulli,OM,82,0,Mediano,214583
GK,Guglielmo Vicario,Spurs,82,0,Mediano,228698
GK,Rui Silva,Al-Ain,81,0,Mediano,212822
GK,De Gea,Fiorentina,85,0,Mediano,193080
GK,Diego Conde,Villarreal,80,0,Mediano,225881
GK,Sergio Herrera,Osasuna,79,0,Mediano,214979
GK,Matej Kovar,Manchester United,78,0,Mediano,240726
